ID,X,Y
P001 ,1.2 ,11.5
P002,2.5,10.0
P003,3.8,13.5
P004,4.1,11.0
P005,5.3,14.8
P006,6.7,12.5
P007,7.0,16.0
P008,8.2,13.8
P009,9.5,17.2
P010,10.8,14.5
P011,11.1,18.8
P012,12.4,15.5
P013,13.6,19.9
P014,14.9,16.8
P015,16.2,21.0
P016,17.5,17.5
P017,18.8,22.5
P018,19.1,18.0
P019,20.4,24.0
P020,21.7,19.0
P021,22.0,25.5
P022,23.3,20.0
P023,24.6,26.8
P024,25.9,20.8
P025,27.2,28.0
P026,28.5,21.5
P027,29.8,29.5
P028,30.1,22.0
P029,31.4,30.8
P030,32.7,22.8
P031,33.0,32.0
P032,34.3,23.5
P033,35.6,33.5
P034,36.9,24.0
P035,38.2,35.0
P036,39.5,25.0
P037,40.8,36.5
P038,41.1,25.5
P039,42.4,38.0
P040,43.7,26.0
P041,44.0,39.5
P042,45.3,26.5
P043,46.6,41.0
P044,47.9,27.0
P045,48.2,42.5
P046,49.5,27.5
P047,50.8,44.0
P048,51.1,28.0
P049,52.4,45.5
P050,53.7,28.5
P051,54.0,47.0
P052,55.3,29.0
P053,56.6,48.5
P054,57.9,29.5
P055,58.2,50.0
P056,59.5,30.0
P057,60.8,51.5
P058,61.1,30.5
P059,62.4,53.0
P060,63.7,31.0
P061,64.0,54.5
P062,65.3,31.5
P063,66.6,56.0
P064,67.9,32.0
P065,68.2,57.5
P066,69.5,32.5
P067,70.8,59.0
P068,71.1,33.0
P069,72.4,60.5
P070,73.7,33.5
P071,74.0,62.0
P072,75.3,34.0
P073,76.6,63.5
P074,77.9,34.5
P075,78.2,65.0
P076,79.5,35.0
P077,80.8,66.5
P078,81.1,35.5
P079,82.4,68.0
P080,83.7,36.0
P081,84.0,69.5
P082,85.3,36.5
P083,86.6,71.0
P084,87.9,37.0
P085,88.2,72.5
P086,89.5,37.5
P087,90.8,74.0
P088,91.1,38.0
P089,92.4,75.5
P090,93.7,38.5
P091,94.0,77.0
P092,95.3,39.0
P093,96.6,78.5
P094,97.9,39.5
P095,98.2,80.0
P096,99.5,40.0
P097,100.8,81.5
P098,101.1,40.5
P099,102.4,83.0
P100,103.7,41.0
