 周   周秒      伪距		    	L1载波
1592	4347	21662219.36 	113835731.10 
1592	4348	21661813.92 	113833599.50 
1592	4349	21661408.28 	113831468.40 
1592	4350	21661002.94 	113829337.60 
1592	4351	21660597.73 	113827207.30 
1592	4352	21660192.66 	113825078.00 
1592	4353	21659787.00 	113822948.90 
1592	4354	21659382.23 	113820820.30 
1592	4355	21658976.86 	113818692.20 
1592	4356	21658572.36 	113816565.00 
1592	4357	21658167.40 	113814438.10 
1592	4358	21657763.16 	113812311.90 
1592	4359	21657358.56 	113810186.40 
1592	4360	21656954.15 	113808061.30 
1592	4361	21656550.07 	113805936.80 
1592	4362	21656145.60 	113803813.00 
1592	4363	21655741.54 	113801689.70 
1592	4364	21655337.70 	113799566.90 
1592	4365	21654933.99 	113797444.40 
1592	4366	21654529.72 	113795322.30 
1592	4367	21654126.11 	113793201.00 
1592	4368	21653722.91 	113791080.40 
1592	4369	21653319.43 	113788960.50 
1592	4370	21652915.92 	113786841.00 
1592	4371	21652512.60 	113784722.40 
1592	4372	21652109.75 	113782604.40 
1592	4373	21651706.76 	113780486.90 
1592	4374	21651303.80 	113778369.80 
1592	4375	21650901.35 	113776253.40 
1592	4376	21650498.39 	113774137.40 
1592	4377	21650096.19 	113772022.00 
1592	4378	21649693.32 	113769907.10 
1592	4379	21649291.09 	113767793.10 
1592	4380	21648888.78 	113765679.20 
1592	4381	21648486.54 	113763565.90 
1592	4382	21648084.52 	113761453.40 
1592	4383	21647682.70 	113759341.50 
1592	4384	21647280.81 	113757230.20 
1592	4385	21646878.77 	113755119.20 
1592	4386	21646477.88 	113753009.10 
1592	4387	21646076.20 	113750899.40 
1592	4388	21645675.27 	113748790.30 
1592	4389	21645273.58 	113746681.50 
1592	4390	21644873.05 	113744573.50 
1592	4391	21644471.45 	113742466.00 
1592	4392	21644070.77 	113740359.20 
1592	4393	21643669.80 	113738252.70 
1592	4394	21643269.16 	113736147.10 
1592	4395	21642868.54 	113734042.00 
1592	4396	21642468.10 	113731937.50 
1592	4397	21642067.63 	113729833.40 
1592	4398	21641667.26 	113727729.80 
1592	4399	21641267.17 	113725626.80 
1592	4400	21640867.06 	113723524.40 
1592	4401	21640466.96 	113721422.30 
1592	4402	21640067.72 	113719320.90 
1592	4403	21639667.52 	113717219.80 
1592	4404	21639267.51 	113715119.60 
1592	4405	21638868.10 	113713019.80 
1592	4406	21638468.47 	113710920.50 
1592	4407	21638069.45 	113708822.20 
1592	4408	21637670.10 	113706724.20 
1592	4409	21637270.78 	113704626.80 
1592	4410	21636871.96 	113702530.00 
1592	4411	21636473.05 	113700433.70 
1592	4412	21636074.16 	113698337.90 
1592	4413	21635675.77 	113696242.40 
1592	4414	21635277.12 	113694147.50 
1592	4415	21634878.31 	113692053.50 
1592	4416	21634479.95 	113689959.90 
1592	4417	21634081.73 	113687866.70 
1592	4418	21633683.32 	113685774.10 
1592	4419	21633285.34 	113683682.20 
1592	4420	21632887.29 	113681590.60 
1592	4421	21632489.30 	113679499.20 
1592	4422	21632091.15 	113677408.50 
1592	4423	21631693.91 	113675318.40 
1592	4424	21631296.03 	113673228.80 
1592	4425	21630898.70 	113671139.90 
1592	4426	21630501.31 	113669051.80 
1592	4427	21630104.29 	113666964.30 
1592	4428	21629706.84 	113664877.40 
1592	4429	21629309.30 	113662791.00 
1592	4430	21628912.89 	113660705.20 
1592	4431	21628516.13 	113658619.60 
1592	4432	21628119.29 	113656534.50 
1592	4433	21627722.59 	113654449.90 
1592	4434	21627326.26 	113652366.30 
1592	4435	21626929.58 	113650283.20 
1592	4436	21626533.63 	113648200.70 
1592	4437	21626137.14 	113646118.70 
1592	4438	21625740.88 	113644037.30 
1592	4439	21625345.30 	113641956.20 
1592	4440	21624949.13 	113639875.90 
1592	4441	21624553.27 	113637796.00 
1592	4442	21624157.63 	113635716.80 
1592	4443	21623762.22 	113633637.90 
1592	4444	21623366.87 	113631559.70 
1592	4445	21622971.19 	113629482.10 
1592	4446	21622576.04 	113627405.10 
1592	4447	21622180.63 	113625328.40 
1592	4448	21621786.13 	113623252.30 
1592	4449	21621391.06 	113621177.20 
1592	4450	21620996.08 	113619102.50 
1592	4451	21620601.53 	113617028.30 
1592	4452	21620207.08 	113614954.80 
1592	4453	21619812.59 	113612881.70 
1592	4454	21619418.20 	113610809.30 
1592	4455	21619023.66 	113608737.20 
1592	4456	21618629.37 	113606665.60 
1592	4457	21618235.07 	113604594.50 
1592	4458	21617841.27 	113602523.90 
1592	4459	21617447.46 	113600453.60 
1592	4460	21617053.84 	113598384.20 
1592	4461	21616659.89 	113596315.50 
1592	4462	21616266.46 	113594247.30 
1592	4463	21615872.94 	113592179.80 
1592	4464	21615479.66 	113590112.90 
1592	4465	21615086.31 	113588046.20 
1592	4466	21614693.42 	113585979.90 
1592	4467	21614300.11 	113583914.60 
1592	4468	21613907.27 	113581849.90 
1592	4469	21613514.30 	113579785.60 
1592	4470	21613121.67 	113577721.50 
