区域范围,左下坐标,左上坐标,右下坐标,右上坐标
(0,0),(0,-400),(400,0),(400,400)
点位ID,X,Y
1,53414.28,31421.88
2,53387.8,31425.02
3,53359.06,31426.62
4,53348.04,31425.53
5,53344.57,31440.31
6,53352.89,31454.84
7,53402.88,31442.45
8,53393.47,31393.86
9,53358.85,31387.57
10,53358.59,31376.62
11,53348.66,31364.21
12,53362.8,31340.89
13,53335.73,31347.62
14,53331.84,31362.69
15,53351.82,31402.35
16,53335.09,31399.61
17,53331.15,31333.34
18,53344.1,31322.26
19,53326.8,31381.66
20,53396.59,31331.42
21,53372.7,31317.25
22,53404.54,31313.74
23,53416.04,31349.16
24,53424.7,31367.77
25,53414.85,31383.5
26,53399.59,31370.21
27,53386.89,31353.32
28,53383.23,31336.82
29,53421.13,31322.59
30,53468.29,31316.53
31,53434.93,31313.32
32,53456.71,31324.05
33,53491.54,31372.23
34,53470.83,31363.75
35,53414.07,31397.87
36,53446.84,31368.77
37,53438,31337.25
38,53456.08,31344.36
39,53472.76,31401.02
40,53479.13,31432.82
41,53499.63,31422.7
42,53492.35,31402.93
43,53489.32,31390.16
44,53449.7,31383.25
45,53444.56,31406.78
46,53464.5,31427.23
47,53503.6,31439.93
48,53515.85,31437.89
49,53505.89,31493.01
50,53485.63,31490.18
51,53493.83,31472.49
52,53482.52,31450.67
53,53508.1,31461.98
54,53513.7,31482.32
55,53532.14,31466.79
56,53547.81,31446.42
57,53555.09,31429.29
58,53550.59,31466.8
59,53542.39,31490.08
60,53562.32,31481.02
61,53582.49,31461.23
62,53585.43,31474.09
63,53596.28,31464.84
64,53573.76,31494.1
65,53567.67,31505.61
66,53435.85,31465.51
67,53446.92,31438.86
68,53451.21,31462.16
69,53425.14,31442.84
70,53465.83,31471.64
71,53444.54,31478.39
72,53436.92,31489.73
73,53446.87,31502.75
74,53424.8,31499.59
75,53415.55,31477.23
76,53405.41,31459.37
77,53407.98,31487.67
78,53410.21,31511.39
79,53392.51,31495.92
80,53434.96,31524.73
81,53415.92,31523.57
82,53381.47,31504.81
83,53365.02,31495.85
84,53352.99,31500.58
85,53348.82,31486.82
86,53350.47,31471.08
87,53357.64,31521.57
88,53387.14,31526.14
89,53418.4,31538.09
90,53448.49,31533.77
91,53465.16,31494.46
92,53458.79,31508.1
93,53503.63,31519.64
94,53504.38,31505.74
95,53487.85,31513.9
96,53473.73,31522.38
97,53474.65,31534.46
98,53501.33,31537.72
99,53526.89,31530.08
100,53538.63,31519.63
101,53327.38,31431.95
102,53326.22,31419.39
103,53591.41,31400.14
104,53580.18,31375.51
105,53603.18,31381.36
106,53529.15,31341.71
107,53583.86,31408.9
108,53565.07,31419.84
109,53544.34,31402.71
110,53568.31,31403.82
111,53517.51,31388.7
112,53521.11,31366.48
113,53539.64,31349.28
114,53506.62,31335.71
115,53505.15,31350.97
116,53494.79,31379.74
117,53511.44,31374.64
118,53493.14,31354.75
119,53549.66,31508.67
120,53369.18,31500.28
121,53442.8,31431.06
122,53455.78,31444.08
123,53461.02,31374.57
124,53437.3,31388.9
125,53399.61,31407.54
126,53514.12,31450.64
