ID,X,Y,Z
P001,1.2,0.8,5.9
P002,2.5,1.5,7.0
P003,3.8,2.1,8.3
P004,4.1,0.5,7.7
P005,5.3,2.9,9.4
P006,6.7,1.2,9.9
P007,7.0,3.5,11.0
P008,8.2,1.8,11.0
P009,9.5,4.0,12.7
P010,10.8,2.3,12.5
P011,11.1,4.6,14.0
P012,12.4,3.0,13.9
P013,13.6,5.2,15.6
P014,14.9,3.7,15.2
P015,16.2,5.9,17.2
P016,17.5,4.3,16.7
P017,18.8,6.5,18.8
P018,19.1,4.9,18.0
P019,20.4,7.1,20.3
P020,21.7,5.6,19.6
P021,22.0,7.8,21.9
P022,23.3,6.2,21.0
P023,24.6,8.4,23.5
P024,25.9,6.9,22.4
P025,27.2,9.1,25.0
P026,28.5,7.5,24.0
P027,29.8,9.7,26.6
P028,30.1,8.1,25.4
P029,31.4,10.3,28.1
P030,32.7,8.8,26.8
P031,33.0,11.0,29.7
P032,34.3,9.4,28.2
P033,35.6,11.6,31.2
P034,36.9,10.0,29.7
P035,38.2,12.2,32.8
P036,39.5,10.7,31.1
P037,40.8,12.9,34.3
P038,41.1,11.3,32.5
P039,42.4,13.5,35.9
P040,43.7,12.0,33.9
P041,44.0,14.2,37.4
P042,45.3,12.6,35.3
P043,46.6,14.8,38.9
P044,47.9,13.3,36.7
P045,48.2,15.5,40.5
P046,49.5,13.9,38.1
P047,50.8,16.1,42.0
P048,51.1,14.5,39.5
P049,52.4,16.7,43.6
P050,53.7,15.2,40.9
P051,54.0,17.4,45.1
P052,55.3,15.8,42.3
P053,56.6,18.0,46.7
P054,57.9,16.4,43.7
P055,58.2,18.6,48.2
P056,59.5,17.1,45.1
P057,60.8,19.3,49.8
P058,61.1,17.7,46.5
P059,62.4,19.9,51.3
P060,63.7,18.3,47.9
P061,64.0,20.6,52.9
P062,65.3,19.0,49.3
P063,66.6,21.2,54.4
P064,67.9,19.6,50.7
P065,68.2,21.8,56.0
P066,69.5,20.3,52.0
P067,70.8,22.5,57.5
P068,71.1,20.9,53.4
P069,72.4,23.1,59.1
P070,73.7,21.5,54.8
P071,74.0,23.7,60.6
P072,75.3,22.2,56.2
P073,76.6,24.4,62.2
P074,77.9,22.8,57.6
P075,78.2,25.0,63.7
P076,79.5,23.4,59.0
P077,80.8,25.7,65.3
P078,81.1,24.0,60.4
P079,82.4,26.3,66.8
P080,83.7,24.7,61.8
P081,84.0,27.0,68.4
P082,85.3,25.3,63.2
P083,86.6,27.6,69.9
P084,87.9,26.0,64.6
P085,88.2,28.3,71.5
P086,89.5,26.6,66.0
P087,90.8,28.9,73.0
P088,91.1,27.2,67.4
P089,92.4,29.6,74.6
P090,93.7,27.9,68.8
P091,94.0,30.2,76.1
P092,95.3,28.5,70.2
P093,96.6,30.9,77.7
P094,97.9,29.1,71.6
P095,98.2,31.5,79.2
P096,99.5,29.8,73.0
P097,100.8,32.2,80.8
P098,101.1,30.4,74.4
P099,102.4,32.8,82.3
P100,103.7,31.1,83.7
