ID,X,Y,Z
P001,1.2,1.5,0.8
P002,2.5,0.0,2.1
P003,3.8,3.5,0.5
P004,4.1,1.0,3.2
P005,5.3,4.8,1.8
P006,6.7,2.5,4.0
P007,7.0,6.0,2.5
P008,8.2,3.8,5.1
P009,9.5,7.2,3.3
P010,10.8,4.5,6.0
P011,11.1,8.8,3.9
P012,12.4,5.5,6.8
P013,13.6,9.9,4.5
P014,14.9,6.8,7.5
P015,16.2,11.0,5.2
P016,17.5,7.5,8.1
P017,18.8,12.5,5.8
P018,19.1,8.0,8.9
P019,20.4,14.0,6.5
P020,21.7,9.0,9.7
P021,22.0,15.5,7.0
P022,23.3,10.0,10.5
P023,24.6,16.8,7.7
P024,25.9,10.8,11.2
P025,27.2,18.0,8.4
P026,28.5,11.5,12.0
P027,29.8,19.5,9.0
P028,30.1,12.0,12.8
P029,31.4,20.8,9.7
P030,32.7,12.8,13.5
P031,33.0,22.0,10.3
P032,34.3,13.5,14.2
P033,35.6,23.5,11.0
P034,36.9,14.0,14.9
P035,38.2,25.0,11.7
P036,39.5,15.0,15.6
P037,40.8,26.5,12.3
P038,41.1,15.5,16.4
P039,42.4,28.0,13.0
P040,43.7,16.0,17.1
P041,44.0,29.5,13.7
P042,45.3,16.5,17.8
P043,46.6,31.0,14.4
P044,47.9,17.0,18.5
P045,48.2,32.5,15.1
P046,49.5,17.5,19.3
P047,50.8,34.0,15.8
P048,51.1,18.0,20.0
P049,52.4,35.5,16.5
P050,53.7,18.5,20.7
P051,54.0,37.0,17.2
P052,55.3,19.0,21.5
P053,56.6,38.5,17.9
P054,57.9,19.5,22.2
P055,58.2,40.0,18.6
P056,59.5,20.0,22.9
P057,60.8,41.5,19.3
P058,61.1,20.5,23.7
P059,62.4,43.0,20.0
P060,63.7,21.0,24.4
P061,64.0,44.5,20.7
P062,65.3,21.5,25.2
P063,66.6,46.0,21.4
P064,67.9,22.0,25.9
P065,68.2,47.5,22.1
P066,69.5,22.5,26.6
P067,70.8,49.0,22.8
P068,71.1,23.0,27.4
P069,72.4,50.5,23.5
P070,73.7,23.5,28.1
P071,74.0,52.0,24.2
P072,75.3,24.0,28.9
P073,76.6,53.5,24.9
P074,77.9,24.5,29.6
P075,78.2,55.0,25.6
P076,79.5,25.0,30.3
P077,80.8,56.5,26.3
P078,81.1,25.5,31.1
P079,82.4,58.0,27.0
P080,83.7,26.0,31.8
P081,84.0,59.5,27.7
P082,85.3,26.5,32.5
P083,86.6,61.0,28.4
P084,87.9,27.0,33.3
P085,88.2,62.5,29.1
P086,89.5,27.5,33.9
P087,90.8,64.0,29.8
P088,91.1,28.0,34.7
P089,92.4,65.5,30.5
P090,93.7,28.5,35.4
P091,94.0,67.0,31.2
P092,95.3,29.0,36.2
P093,96.6,68.5,31.9
P094,97.9,29.5,36.9
P095,98.2,70.0,32.6
P096,99.5,30.0,37.6
P097,100.8,71.5,33.3
P098,101.1,30.5,38.4
P099,102.4,73.0,34.0
P100,103.7,31.0,38.8
