G11 卫星数据
历元名,L1(周),L2(周),P1(米),P2(米),C1(米),SNR1(dBHz),SNR2(dBHz)
A1,120162463.158,93633089.09244,22866155.912,22866155.084,22866156.459,43.500,27.0004
A2,120065062.189,93557192.24144,22847621.430,22847620.337,22847622.049,43.250,27.5004
A3,119968020.466,93481575.32544,22829154.702,22829153.756,22829155.153,43.250,27.0004
A4,119871340.439,93406240.24144,22810757.292,22810756.069,22810757.597,43.250,27.0004
A5,119775029.807,93331192.99444,22792429.975,22792428.659,22792429.715,43.250,27.7504
A6,119679086.914,93256432.29244,22774172.794,22774172.219,22774173.060,43.500,27.5004
A7,119583522.460,93181966.50044,22755987.316,22755985.994,22755987.902,43.250,28.0004
A8,119488325.674,93107787.18044,22737871.383,22737870.343,22737872.529,43.500,28.0004
A9,119393506.813,93033902.35944,22719828.291,22719827.500,22719828.724,42.500,28.7504
A10,119299069.559,92960314.88544,22701857.861,22701856.231,22701857.920,42.250,28.7504
A11,119205012.584,92887023.72744,22683960.215,22683957.742,22683960.081,43.000,28.5004
A12,119111343.723,92814035.00944,22666134.750,22666133.417,22666134.765,43.250,28.5004
A13,119018061.928,92741347.88544,22648383.337,22648382.710,22648384.309,43.500,28.5004
A14,118925167.808,92668962.85244,22630706.578,22630705.191,22630706.706,43.250,28.7504
A15,118832666.701,92596884.07044,22613104.851,22613103.123,22613104.118,43.250,28.5004
A16,118740561.493,92525113.76344,22595576.974,22595575.838,22595577.973,43.250,28.5004
A17,118648858.556,92453656.93044,22578126.637,22578125.272,22578126.974,43.000,29.0004
A18,118557559.194,92382514.55844,22560752.309,22560752.046,22560752.938,43.750,29.2504
A19,118466666.739,92311689.28244,22543457.374,22543456.416,22543456.969,43.500,29.2504
A20,118376180.987,92241180.88444,22526237.379,22526237.078,22526238.466,43.750,29.5004
A21,118286106.522,92170992.99044,22509097.682,22509096.066,22509097.455,43.500,29.5004
A22,118196449.814,92101130.62344,22492036.199,22492035.231,22492036.946,44.250,29.7504

G21 卫星数据
历元名,L1(周),L2(周),P1(米),P2(米),C1(米),SNR1(dBHz),SNR2(dBHz)
B1,123807985.944,96473755.59644,23559872.511,23559872.671,23559874.194,38.750,24.5004
B2,123894980.355,96541543.44044,23576427.690,23576427.909,23576428.888,39.750,27.5004
B3,123982161.202,96609476.53644,23593016.805,23593017.071,23593017.632,37.750,24.2504
B4,124069526.711,96677553.56343,23609641.880,23609641.883,23609642.961,38.000,23.7504
B5,124157080.390,96745777.18044,23626304.242,23626303.851,23626303.133,39.000,24.7504
B6,124244816.928,96814143.32644,23642999.524,23642999.130,23643000.198,39.000,26.0004
B7,124332742.782,96882656.92044,23659730.876,23659731.748,23659731.776,39.500,25.5004
B8,124420843.362,96951306.72644,23676495.858,23676495.047,23676496.912,39.250,24.7504
B9,124509124.688,97020097.37244,23693295.439,23693295.535,23693296.248,39.750,24.7504
B10,124597586.317,97089028.51943,23710128.852,23710128.361,23710129.526,38.250,23.5004
B11,124686223.206,97158096.16643,23726996.234,23726996.595,23726997.226,38.500,23.7504
B12,124775039.014,97227303.31344,23743897.737,23743896.633,23743898.245,40.750,25.0004
B13,124864028.824,97296646.02843,23760830.955,23760831.264,23760832.433,38.500,23.5004
B14,124953189.353,97366121.71644,23777798.688,23777797.061,23777799.367,38.500,24.5004
B15,125042521.312,97435731.03143,23794797.601,23794798.073,23794797.883,38.250,23.7504
B16,125132023.983,97505473.34044,23811829.922,23811829.510,23811829.832,39.000,24.2504
B17,125221699.472,97575350.35543,23828893.691,23828893.362,23828895.743,38.250,23.2504
B18,125311545.351,97645360.11443,23845990.631,23845991.742,23845990.687,38.000,22.2504
B19,125401560.742,97715501.96043,23863120.970,23863119.665,23863120.683,39.500,23.7504
B20,125491741.502,97785772.68444,23880281.135,23880282.158,23880281.823,39.500,24.0004
B21,125582088.156,97856172.65343,23897473.806,23897473.795,23897474.211,38.750,23.0004
B22,125672603.063,97926703.74243,23914697.996,23914698.915,23914697.918,38.000,22.0004
