OID_,CID,POINT_X,POINT_Y,weight
1,2,13377397.778599999845028,4292118.214599996805191,1.000000000000000
2,2,13377359.256499998271465,4292090.128300003707409,2.000000000000000
3,2,13377314.726399999111891,4292145.711699999868870,3.000000000000000
4,2,13377349.729400001466274,4292103.013300001621246,4.000000000000000
5,2,13377359.011900000274181,4292179.105400003492832,5.000000000000000
6,2,13377374.995099999010563,4292107.813100002706051,6.000000000000000
7,2,13377354.100499998778105,4292080.890100002288818,7.000000000000000
8,2,13377295.773400001227856,4292140.460400000214577,8.000000000000000
9,2,13377335.191100001335144,4292169.829599998891354,9.000000000000000
10,2,13377336.052799999713898,4292097.716700002551079,10.000000000000000
11,2,13377378.093800000846386,4292124.556000001728535,11.000000000000000
12,2,13377297.781599998474121,4292128.537799999117851,12.000000000000000
13,2,13377359.380899999290705,4292109.073200002312660,13.000000000000000
14,2,13377392.182199999690056,4292143.493500001728535,14.000000000000000
15,2,13377376.203699998557568,4292144.668300002813339,15.000000000000000
16,2,13377357.978100001811981,4292160.140600003302097,16.000000000000000
17,2,13377325.559300001710653,4292160.287500001490116,17.000000000000000
18,2,13377349.350299999117851,4292168.236100003123283,18.000000000000000
19,2,13377362.385499998927116,4292120.915899999439716,19.000000000000000
20,2,13377327.625000000000000,4292082.290299996733665,20.000000000000000
21,2,13377309.562300000339746,4292157.592699997127056,21.000000000000000
22,2,13377339.899900000542402,4292072.423000000417233,22.000000000000000
23,2,13377324.571600001305342,4292170.641400001943111,23.000000000000000
24,2,13377343.906399998813868,4292158.558700002729893,24.000000000000000
25,2,13377370.210599999874830,4292164.693700000643730,25.000000000000000
26,2,13377400.972399998456240,4292129.335799999535084,26.000000000000000
27,2,13377342.806200001388788,4292082.249700002372265,27.000000000000000
28,2,13377307.249299999326468,4292136.407399997115135,28.000000000000000
29,2,13377361.061999998986721,4292138.014499999582767,29.000000000000000
30,2,13377368.415800001472235,4292130.047600001096725,30.000000000000000
31,2,13377369.254999998956919,4292181.656199999153614,31.000000000000000
32,2,13377384.546500001102686,4292151.163599997758865,32.000000000000000
33,2,13377372.035500001162291,4292153.957199998199940,33.000000000000000
34,2,13377372.645199999213219,4292097.855400003492832,34.000000000000000
35,2,13377388.455800000578165,4292112.871899999678135,35.000000000000000
36,2,13377333.735700000077486,4292152.240999996662140,36.000000000000000
37,2,13377298.676100000739098,4292150.095899999141693,37.000000000000000
38,2,13377359.315099999308586,4292189.258599996566772,38.000000000000000
39,2,13377349.646999999880791,4292150.072300001978874,39.000000000000000
40,2,13377340.821699999272823,4292179.672100000083447,40.000000000000000
41,2,13377360.198300000280142,4292150.295400001108646,41.000000000000000
42,2,13377385.158399999141693,4292133.178499996662140,42.000000000000000
43,2,13377380.509399998933077,4292164.958499997854233,43.000000000000000
44,2,13377350.254099998623133,4292184.902800001204014,44.000000000000000
45,2,13377345.248199999332428,4292093.616599999368191,45.000000000000000
46,2,13377326.893399998545647,4292144.398299999535084,46.000000000000000
47,3,13377273.476199999451637,4292095.114200003445148,47.000000000000000
48,3,13377236.716699998825788,4292095.279899999499321,48.000000000000000
49,3,13377277.786800000816584,4292044.201899997889996,49.000000000000000
50,3,13377292.857900001108646,4292036.774700000882149,50.000000000000000
51,3,13377281.320500001311302,4292032.822200000286102,51.000000000000000
52,3,13377285.624600000679493,4292100.329000003635883,52.000000000000000
53,3,13377310.201600000262260,4292052.941500000655651,53.000000000000000
54,3,13377303.545299999415874,4292075.262900002300739,54.000000000000000
55,3,13377259.720899999141693,4292111.717500001192093,55.000000000000000
56,3,13377246.320900000631809,4292021.637699998915195,56.000000000000000
57,3,13377257.772199999541044,4292005.231200002133846,57.000000000000000
58,3,13377267.256599999964237,4292021.541000001132488,58.000000000000000
59,3,13377323.252500001341105,4292073.774400003254414,59.000000000000000
60,3,13377253.151500001549721,4292096.382799997925758,60.000000000000000
61,3,13377320.927799999713898,4292062.446999996900558,61.000000000000000
62,3,13377286.306899998337030,4292074.562299996614456,62.000000000000000
63,3,13377283.445900000631809,4292054.139100000262260,63.000000000000000
64,3,13377241.065600000321865,4292077.090700000524521,64.000000000000000
65,3,13377217.347199998795986,4292080.048500001430511,65.000000000000000
66,3,13377269.308100000023842,4292124.090400002896786,66.000000000000000
67,3,13377281.915600001811981,4292110.252599999308586,67.000000000000000
68,3,13377292.666799999773502,4292087.295999996364117,68.000000000000000
69,3,13377265.713899999856949,4292084.998700000345707,69.000000000000000
70,3,13377296.564199998974800,4292050.489900000393391,70.000000000000000
71,3,13377258.766100000590086,4292029.263300001621246,71.000000000000000
72,3,13377297.863499999046326,4292065.741099998354912,72.000000000000000
73,3,13377303.995600000023842,4292088.605200000107288,73.000000000000000
74,3,13377264.098400000482798,4292039.077600002288818,74.000000000000000
75,3,13377229.641300000250340,4292077.554899998009205,75.000000000000000
76,3,13377272.065600000321865,4292107.304499998688698,76.000000000000000
77,3,13377272.615299999713898,4292073.911100000143051,77.000000000000000
78,3,13377312.848999999463558,4292079.578500002622604,78.000000000000000
79,3,13377239.026900000870228,4292014.591399997472763,79.000000000000000
80,3,13377280.144900001585484,4292022.380900003015995,80.000000000000000
81,3,13377245.648400001227856,4292105.150100000202656,81.000000000000000
82,3,13377226.227699998766184,4292088.634199999272823,82.000000000000000
83,3,13377215.551199998706579,4292066.185300000011921,83.000000000000000
84,3,13377225.854899998754263,4292066.998599998652935,84.000000000000000
85,3,13377249.337999999523163,4292086.444799996912479,85.000000000000000
86,3,13377282.039999999105930,4292089.755800001323223,86.000000000000000
87,3,13377306.252500001341105,4292042.845100000500679,87.000000000000000
88,3,13377277.967300001531839,4292063.535700000822544,88.000000000000000
89,3,13377205.887200001627207,4292077.659500002861023,89.000000000000000
90,3,13377256.375199999660254,4292017.196199998259544,90.000000000000000
91,3,13377309.755899999290705,4292062.963699996471405,91.000000000000000
92,3,13377297.051899999380112,4292096.354000002145767,92.000000000000000
93,3,13377246.194899998605251,4292006.504299998283386,93.000000000000000
94,3,13377250.178700000047684,4292035.077299997210503,94.000000000000000
95,3,13377331.433100000023842,4292063.451800003647804,95.000000000000000
96,3,13377263.067200001329184,4292101.117899999022484,96.000000000000000
97,3,13377280.627900000661612,4292120.513800002634525,97.000000000000000
98,4,13377532.124800000339746,4293096.543499998748302,98.000000000000000
99,4,13377497.823199998587370,4293059.570900000631809,99.000000000000000
100,4,13377510.760800000280142,4293076.191100001335144,100.000000000000000
101,4,13377501.034099999815226,4293080.943199999630451,101.000000000000000
102,4,13377510.797299999743700,4293064.162699997425079,102.000000000000000
103,4,13377458.975000001490116,4293053.138599999248981,103.000000000000000
104,4,13377556.979299999773502,4293084.590999998152256,104.000000000000000
105,4,13377437.448399998247623,4293028.591899998486042,105.000000000000000
106,4,13377442.622000001370907,4293001.752099998295307,106.000000000000000
107,4,13377476.999099999666214,4293049.911300003528595,107.000000000000000
108,4,13377448.966499999165535,4293011.486299999058247,108.000000000000000
109,4,13377484.871399998664856,4293035.182800002396107,109.000000000000000
110,4,13377421.661699999123812,4293013.633599996566772,110.000000000000000
111,4,13377531.696299999952316,4293075.681599996984005,111.000000000000000
112,4,13377545.631599999964237,4293075.152699999511242,112.000000000000000
113,4,13377458.641699999570847,4293032.688299998641014,113.000000000000000
